Orig.,4Kids,No. inseason,4Kids titleOriginal Japanese & Funimation titles[15],Directed by,Written by,Rank[n 1]Rating,Original air date,English air date
East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue
1,1,1,"""I'm Gonna Be King of the Pirates!""""I'm Luffy! The Man Who's Gonna Be King of the Pirates!""Transcription: ""Ore wa Rufi! Kaizoku Ō ni Naru Otoko Da!"" (Japanese: 俺はルフィ!海賊王になる男だ!)",Konosuke Uda,Junki Takegami,612.4,"October 20, 1999[16]","September 18, 2004[17]"
2,2,2,"""Roronoa Zoro: Pirate Hunter""""Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!""Transcription: ""Daikengō Arawaru! Kaizokugari Roronoa Zoro"" (Japanese: 大剣豪現る!海賊狩りロロノア·ゾロ)",Tetsuji Nakamura,Mitsuru Shimada,911.7,"November 17, 1999[18]","September 25, 2004[19]"
3,3,3,"""An Unlikely Pair: The Pirate & The Pirate Hunter""""Morgan versus Luffy! Who's the Mysterious Pretty Girl?""Transcription: ""Mōgan tai Rufi! Nazo no Bishōjo wa Dare?"" (Japanese: モーガンVSルフィ!謎の美少女は誰?)",Mitsuru Shimada,Hidehiko Kadota,713.3,"November 24, 1999[20]","October 2, 2004[21]"
4,4,4,"""The Passing Of The Hat""""Luffy's Past! Enter Red-Haired Shanks!""Transcription: ""Rufi no Kako! Akagami no Shankusu Tōjō"" (Japanese: ルフィの過去!赤髪のシャンクス登場)",Munehisa Sakai,Junki Takegami,912.9,"December 8, 1999[22]","October 9, 2004[23]"
5,5,5,"""The Circus Comes To Town""""A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!""Transcription: ""Kyōfu Nazo no Chikara! Kaizoku Dōke Bagī-senchō!"" (Japanese: 恐怖!謎の力·海賊道化バギー船長!)",Junichi Fujise,Junki Takegami,813.5,"December 15, 1999[24]","October 16, 2004[25]"
6,6,6,"""The Beast Breaker""""Desperate Situation! Beast Tamer Mohji vs. Luffy!""Transcription: ""Zettai Zetsumei! Mōjūtsukai Mōji VS Rufi!"" (Japanese: 絶体絶命!猛獣使いモージvsルフィ!)",Shigeyasu Yamauchi,Mitsuru Shimada,112.3,"December 29, 1999[26]","October 23, 2004[27]"
7,7,7,"""The Desperate Duel""""Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!""Transcription: ""Sōzetsu Kettō! Kengō Zoro VS Kyokugei no Kabaji!"" (Japanese: 壮絶決闘!剣豪ゾロvs曲芸のカバジ!)",Tetsuji Nakamura,Mitsuru Shimada,112.3,"December 29, 1999[26]","October 30, 2004"
8,8,8,"""Who Gets the Last Laugh?""""Who is the Victor? Devil Fruit Power Showdown!""Transcription: ""Shōsha wa Dotchi? Akuma no Mi no Nōryoku Taiketsu!"" (Japanese: 勝者はどっち?悪魔の実の能力対決!)",Kōnosuke Uda,Michiru Shimada,112.3,"December 29, 1999[26]","November 6, 2004[28]"
9,9,9,"""The Teller of Tales""""The Honorable Liar? Captain Usopp!""Transcription: ""Seigi no Usotsuki? Kyaputen Usoppu"" (Japanese: 正義のうそつき?キャプテンウソップ)",Hidehiko Kadota,Junki Takegami,811.4,"January 12, 2000[29]","November 13, 2004[30]"
10,10,10,"""The Bluff and the Bluffer"" ""The Weirdest Guy Ever! Jango the Hypnotist!""Transcription: ""Shijō Saikyō no Hen na Yatsu! Saiminjutsushi Jango"" (Japanese: 史上最強の変な奴!催眠術師ジャンゴ)",Munehisa Sakai,Junki Takegami,912.7,"January 19, 2000[31]","November 20, 2004[32]"
11,10–11,11,"""The Bluff and the Bluffer"" / ""The War at the Shore"" ""Expose the Plot! Pirate Butler, Captain Kuro!""Transcription: ""Inbō o Abake! Kaizoku Shitsuji Kyaputen Kuro"" (Japanese: 陰謀を暴け!海賊執事キャプテンクロ)",Shigeyasu Yamauchi,Junki Takegami,812.1,"January 26, 2000[33]","November 20, 2004November 27, 2004[34]"
12,11,12,"""The War at the Shore"" ""Clash with the Black Cat Pirates! The Great Battle on the Slope!""Transcription: ""Gekitotsu! Kuroneko Kaizoku-dan Sakamichi no Daikōbō!"" (Japanese: 激突!クロネコ海賊団坂道の大攻防!)",Junichi Fujise,Junki Takegami,913.2,"February 2, 2000[35]","November 27, 2004"
13,12,13,"""The Black Cat Pirates""""The Terrifying Duo! Meowban Brothers vs. Zoro!""Transcription: ""Kyōfu no Futarigumi! Nyāban Burazāsu VS Zoro"" (Japanese: 恐怖の二人組!ニャーバン兄弟VSゾロ)",Hidehiko Kadota,Junki Takegami,714.7,"February 9, 2000[36]","December 4, 2004[37]"
14,13,14,"""Good Pirates vs. Bad Pirates""""Luffy Back in Action! Miss Kaya's Desperate Resistance!""Transcription: ""Rufi Fukkatsu! Kaya-ojōsama no Kesshi no Teikō"" (Japanese: ルフィ復活!カヤお嬢様の決死の抵抗)",Yukio Kaizawa,Junki Takegami,1012.8,"February 16, 2000[38]","December 11, 2004[39]"
15,14,15,"""The Purr-fect plan""""Beat Kuro! Usopp the Man's Tearful Resolve!""Transcription: ""Kuro o Taose! Otoko Usoppu Namida no Ketsui!"" (Japanese: クロを倒せ!男ウソップ涙の決意!)",Kōnosuke Uda,Junki Takegami,614.4,"February 23, 2000[40]","December 18, 2004[41]"
16,15,16,"""The Long Arm of the Claw""""Protect Kaya! The Usopp Pirates' Great Efforts!""Transcription: ""Kaya o Mamore! Usoppu Kaizoku-dan dai Katsuyaku!"" (Japanese: カヤを守れ!ウソップ海賊団大活躍!)",Munehisa Sakai,Junki Takegami,813.9,"March 1, 2000[42]","January 8, 2005[43]"
17,16,17,"""The Cat's Ninth Life""""Anger Explosion! Kuro vs. Luffy! How it Ends!""Transcription: ""Ikari Bakuhatsu! Kuro vs Rufi Ketchaku no Yukue!"" (Japanese: 怒り爆発!クロVSルフィ決着の行方!)",Hidehiko Kadota,Junki Takegami,914.1,"March 8, 2000[44]","January 15, 2005[45]"
18,17,18,"""The Scrub in the Shrub""""You're the Weird Creature! Gaimon and His Strange Friends!""Transcription: ""Anta ga Chinjū! Gaimon to Kimyō na Nakama"" (Japanese: あんたが珍獣!ガイモンと奇妙な仲間)",Junichi Fujise,Michiru Shimada,912.0,"March 15, 2000[46]","January 22, 2005[47]"
19,18,19,"""Zolo's Pledge""""The Three-Sword Style's Past! Zoro and Kuina's Vow!""Transcription: ""Santōryū no Kako! Zoro to Kuina no Chikai!"" (Japanese: 三刀流の過去!ゾロとくいなの誓い!)",Kōnosuke Uda,Junki Takegami,414.3,"March 22, 2000[48]","January 29, 2005[49]"
20,19,20,"""King of the Busboys""""Famous Cook! Sanji of the Sea Restaurant!""Transcription: ""Meibutsu Kokku! Kaijō Resutoran no Sanji"" (Japanese: 名物コック!海上レストランのサンジ)",Yukio Kaizawa,Junki Takegami,315.0,"April 12, 2000[50]","February 5, 2005[51]"
21,20,21,"""Respecting Sanji""""Unwelcome Customer! Sanji's Food and Ghin's Debt!""Transcription: ""Manekarezaru Kyaku! Sanji no Meshi to Gin no On"" (Japanese: 招かれざる客!サンジの飯とギンの恩)",Hidehiko Kadota,Junki Takegami,315.0,"April 12, 2000[50]","February 12, 2005[52]"
22,21,22,"""Recipe for Disaster""""The Strongest Pirate Fleet! Commodore Don Krieg!""Transcription: ""Saikyō no Kaizoku Kantai! Teitoku Don Kurīku"" (Japanese: 最強の海賊艦隊!提督ドン·クリーク)",Yukio Kaizawa,Junki Takegami,812.2,"April 26, 2000[53]","February 19, 2005[54]"
23,22,23,"""The Red Footed Pirate""""Protect Baratie! The Great Pirate, Red Foot Zeff!""Transcription: ""Mamore Baratie! Dai Kaizoku – Akaashi no Zefu"" (Japanese: 守れバラティエ!大海賊·赫足のゼフ)",Munehisa Sakai,Junki Takegami,—,"May 3, 2000","February 26, 2005[55]"
24,23,24,"""The Better Swordsman""""Hawk-Eye Mihawk! The Great Swordsman Zoro Falls At Sea!""Transcription: ""Taka no Me no Mihōku! Kengō Zoro Umi ni Chiru"" (Japanese: 鷹の目のミホーク!剣豪ゾロ海に散る)",Hidehiko Kadota,Mitsuri Shimada,811.9,"May 10, 2000[56]","March 5, 2005[57]"
25,24,25,"""Pearl Jam""""The Deadly Foot Technique Bursts Forth! Sanji vs. The Invincible Pearl!""Transcription: ""Hissatsu Ashiwaza Sakuretsu! Sanji vs Teppeki no Pāru"" (Japanese: 必殺足技炸裂!サンジVS鉄壁のパール)",Yuji Endo,Mitsuri Shimada,513.7,"May 17, 2000[58]","March 12, 2005[59]"
26,25,26,"""Stranded""""Zeff and Sanji's Dream! The Illusory All Blue!""Transcription: ""Zefu to Sanji no Yume Maboroshi no Ōruburū"" (Japanese: ゼフとサンジの夢·幻のオールブルー)",Mitsuru Shimada,Munehisa Sakai,713.1,"May 24, 2000[60]","March 19, 2005[61]"
27,26,27,"""Here We Go A Ghin""""Cool-headed, Cold-hearted Demon! Pirate Fleet Chief Commander Ghin!""Transcription: ""Reitetsu Hijō no Kijin Kaizoku Kantai Sōchō Gin"" (Japanese: 冷徹非情の鬼人·海賊艦隊総隊長ギン)",Kōnosuke Uda,Junki Takegami,314.2,"May 31, 2000[62]","March 26, 2005[63]"
28,27,28,"""Blitz Krieg""""I Won't Die! Fierce Battle, Luffy vs. Krieg!""Transcription: ""Shinanee yo! Gekitō Rufi vs Kurīku!"" (Japanese: 死なねェよ!激闘ルフィVSクリーク!)",Junji Shimizu,Junki Takegami,912.1,"June 7, 2000[64]","April 2, 2005[65]"
29,28,29,"""The Crack of Don""""The Conclusion of the Deadly Battle! A Spear of Blind Determination!""Transcription: ""Shitō no Ketchaku! Hara ni Kukutta Ippon no Yari!"" (Japanese: 決闘の決着!腹にくくった1本の槍!)",Junichi Fujise,Junki Takegami,1010.6,"June 21, 2000[66]","April 9, 2005[67]"
30,29,30,"""New Crew""""Set Sail! The Seafaring Cook Sets off With Luffy!""Transcription: ""Tabidachi! Umi no Kokku wa Rufi to Tomo Ni"" (Japanese: 旅立ち!海のコックはルフィとともに)",Hidehiko Kadota,Junki Takegami,613.2,"June 28, 2000[68]","April 16, 2005[69]"
31,30,31,"""The Mermen""""The Worst Man in the Eastern Seas! Fishman Pirate Arlong!""Transcription: ""Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Āron!"" (Japanese: 東の海最悪の男!魚人海賊アーロン!)",Yuji Endo,Michiru Shimada,811.5,"July 12, 2000[70]","April 23, 2005[71]"
32,31,32,"""The Thief With a Heart of Gold""""Witch of Cocoyashi Village! Arlong's Female Leader!""Transcription: ""Kokoyashi Mura no Majo! Āron no On'nakanbu"" (Japanese: ココヤシ村の魔女!アーロンの女幹部)",Munehisa Sakai,Michiru Shimada,213.1,"July 19, 2000[72]","April 30, 2005[73]"
33,32,33,"""The Marked Marksman""""Usopp Dead?! When is Luffy Going to Make Landfall?!""Transcription: ""Usoppu Shisu? Rufi Jōriku wa Mada?"" (Japanese: ウソップ死す!?ルフィ上陸はまだ?)",Yukio Kaizawa,Michiru Shimada,213.1,"July 19, 2000[72]","May 7, 2005[74]"
34,33,34,"""It Takes A Thief""""Everyone's Gathered! Usopp Speaks the Truth About Nami!""Transcription: ""Zen'in Shūketsu! Usoppu ga Kataru Nami no Shinjitsu"" (Japanese: 全員集結!ウソップが語るナミの真実)",Junji Shimizu,Michiru Shimada,512.7,"July 26, 2000[75]","May 14, 2005[76]"
35,34,35,"""The Belle of the Brawl""""Untold Past! Female Warrior Bellemere!""Transcription: ""Himerareta Kako! On'nasenshi Berumēru!"" (Japanese: 秘められた過去!女戦士ベルメール!)",Hidehiko Kadota,Michiru Shimada,611.5,"August 2, 2000[77]","May 21, 2005[78]"
36,34,36,"""The Belle of the Brawl""""Survive! Mother Bellemere and Nami's Bond!""Transcription: ""Ikinuke! Haha Berumēru to Nami no Kizuna!"" (Japanese: 生き抜け!母ベルメールとナミの絆!)",Kōnosuke Uda,Michiru Shimada,512.2,"August 9, 2000[79]","May 21, 2005"
37,35,37,"""You Dirty Rat!""""Luffy Rises! Result of the Broken Promise!""Transcription: ""Rufi Tatsu! Uragirareta Yakusoku no Ketsumatsu!"" (Japanese: ルフィ立つ!裏切られた約束の結末)",Junichi Fujise,Michiru Shimada,511.4,"August 16, 2000[80]","May 28, 2005[81]"
38,36,38,"""War of the Species""""Luffy in Big Trouble! Fishmen vs. the Luffy Pirates!""Transcription: ""Rufi Dai Pinchi! Gyojin vs Rufi Kaizoku-dan"" (Japanese: ルフィ大ピンチ!魚人VSルフィ海賊団)",Yuji Endo,Michiru Shimada,313.6,"August 23, 2000[82]","June 4, 2005[83]"
39,37,39,"""Arms Against Arms""""Luffy Submerged! Zoro vs. Hatchan the Octopus!""Transcription: ""Rufi Suibotsu! Zoro vs Tako no Hatchan"" (Japanese: ルフィ水没!ゾロVSタコのはっちゃん)",Junji Shimizu,Michiru Shimada,514.4,"August 30, 2000[84]","June 11, 2005[85]"
40,37–38,40,"""Arms Against Arms"" / ""The Comeback Kid""""Proud Warriors!  Sanji and Usopp's Fierce Battles!""Transcription: ""Hokori Takaki Senshi! Gekitō Sanji to Usoppu"" (Japanese: 誇り高き戦士!激闘サンジとウソップ)",Yoko Ikeda,Michiru Shimada,813.6,"September 6, 2000[86]","June 11, 2005June 18, 2005[87]"
41,38,41,"""The Comeback Kid""""Luffy at Full Power! Nami's Determination and the Straw Hat!""Transcription: ""Rufi Zenkai! Nami no Ketsui to Mugiwara Bōshi"" (Japanese: ルフィ全開!ナミの決意と麦わら帽子)",Munehisa Sakai,Michiru Shimada,413.6,"September 13, 2000[88]","June 18, 2005"
42,38–39,42,"""The Comeback Kid"" / ""Wanted!""""Explosion! Fishman Arlong's Fierce Assault From the Sea!""Transcription: ""Sakuretsu! Gyojin Āron Umi Kara no Mōkōgeki!"" (Japanese: 炸裂!魚人アーロン海からの猛攻撃!)",Hidehiko Kadota,Michiru Shimada,215.0,"September 27, 2000[89]","June 18, 2005June 25, 2005[90]"
43,39,43,"""Wanted!""""End of the Fishman Empire! Nami's My Friend!""Transcription: ""Gyojin Teikoku no Owari! Nami wa Ore no Nakama da!"" (Japanese: 魚人帝国の終り!ナミは俺の仲間だ!)",Junji Shimizu,Michiru Shimada,215.0,"September 27, 2000[89]","June 25, 2005"
44,-,44,"""Setting Out with a Smile! Farewell, Hometown Cocoyashi Village!""Transcription: ""Egao no Tabitachi! Saraba Kokyō Kokoyashi Mura"" (Japanese: 笑顔の旅立ち!さらば故郷ココヤシ村)",Kōnosuke Uda,Michiru Shimada,513.2,"October 11, 2000[91]",—
45,39,45,"""Wanted!""""Bounty! Straw Hat Luffy Becomes Known to the World!""Transcription: ""Shōkinkubi! Mugiwara no Rufi yo ni Shirewataru"" (Japanese: 賞金首!麦わらのルフィ世に知れ渡る)",Yoko Ikeda,Junki Takegami,613.6,"October 25, 2000[92]","June 25, 2005"
46,—,46,"""Chase Straw Hat! Little Buggy's Big Adventure!""Transcription: ""Mugiwara o Oe! Chiisana Bagī no Dai Bōken"" (Japanese: 麦わらを追え!小さなバギーの大冒険)",Munehisa Sakai,Junki Takegami,614.4,"November 1, 2000[93]",—
47,—,47,"""The Wait is Over! The Return of Captain Buggy!""Transcription: ""Omachi Ka Ne! Aa Fukkatsu no Bagī Senchō"" (Japanese: お待ちかね!ああ復活のバギー船長)",Hidehiko Kadota,Junki Takegami,813.5,"November 8, 2000[94]",—
48,40,48,"""Roguetown""""The Town of the Beginning and the End! Landfall at Logue Town!""Transcription: ""Hajimari to Owari no Machi – Rōgutaun Jōriku"" (Japanese: 始まりと終わりの町·ローグタウン上陸)",Junichi Fujise,Michiru Shimada,515.7,"November 22, 2000[95]","July 2, 2005[96]"
49,40–41,49,"""Roguetown"" / ""Switched Blades""""Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!""Transcription: ""Sandai Kitetsu to Yubashiri! Zoro no Shintō to Josōchō"" (Japanese: 三代鬼徹と雪走!ゾロの新刀と女曹長)",Yoshihiro Ueda,Michiru Shimada,515.7,"November 22, 2000[95]","July 2, 2005July 9, 2005[97]"
50,—,50,"""Usopp vs. Daddy the Parent! Showdown at High!""[n 2]Transcription: ""Usoppu vs Kozure no Dadi Mahiru no Kettō"" (Japanese: ウソップVS子連れのダディ真昼の決闘)",Katsumi Tokoro,Michiru Shimada,515.2[98],"November 29, 2000[98]",—
51,41–42,51,"""Switched Blades"" / ""Sanji Sizzles""""Fiery Cooking Battle? Sanji vs. the Beautiful Chef!""Transcription: ""Honō no Ryōri Batoru? Sanji vs Bijin Shefu"" (Japanese: 炎の料理バトル?サンジVS美人シェフ)",Munehisa Sakai,Michiru Shimada,614.0,"December 6, 2000[99]","July 9, 2005July 16, 2005[100]"
52,42–43,52,"""Sanji Sizzles"" / ""Buggy's Back""""Buggy's Revenge! The Man Who Smiles On the Execution Platform!""Transcription: ""Bagī no Ribenji! Shokeidai de Warau Otoko!"" (Japanese: バギーのリベンジ!処刑台で笑う男!)",Hidehiko Kadota,Michiru Shimada,514.7,"December 13, 2000[101]","July 16, 2005July 23, 2005[102]"
53,43,53,"""Buggy's Back""""The Legend Has Started! Head for the Grand Line!""Transcription: ""Densetsu wa Hajimatta! Mezase Idai Naru Kōro"" (Japanese: 伝説は始まった!目指せ偉大なる航路)",Ken Koyama,Michiru Shimada,614.1,"January 10, 2001[103]","July 23, 2005"
54,—,54,"""Precursor to a New Adventure! Apis, a Mysterious Girl!""Transcription: ""Arata Naru Bōken no Yokan! Nazo no Shōjo Apisu"" (Japanese: 新たなる冒険の予感!謎の少女アピス)",Kōnosuke Uda,Junki Takegami,814.1,"January 17, 2001[104]",—
55,—,55,"""Miraculous Creature! Apis' Secret and the Legendary Island!""Transcription: ""Kiseki no Seibutsu! Apisu no Himitsu to Densetsu no Shima"" (Japanese: 奇跡の生物!アピスの秘密と伝説の島)",Harume Kosaka,Junki Takegami,715.3,"January 24, 2001[105]",—
56,—,56,"""Eric Attacks! Great Escape from Warship Island!""Transcription: ""Erikku Shutsugeki! Gunkanjima Kara no Dai Dasshutsu!"" (Japanese: エリック出撃!軍艦島からの大脱出!)",Hidehiko Kadota,Junki Takegami,614.7,"January 31, 2001[106]",—
57,—,57,"""A Solitary Island in the Distant Sea! The Legendary Lost Island!""Transcription: ""Zekkai no Kotō! Densetsu no Rosuto Airando"" (Japanese: 絶海の孤島!伝説のロストアイランド)",Yoko Ikeda,Junki Takegami,814.6,"February 7, 2001[107]",—
58,—,58,"""Showdown in the Ruins! Tense Zoro vs. Eric!""Transcription: ""Haikyō no Kettō! Kinpaku no Zoro tai Erikku!"" (Japanese: 廃虚の決闘!緊迫のゾロVSエリック)",Munehisa Sakai,Junki Takegami,516.6,"February 21, 2001[108]",—
59,—,59,"""Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!""Transcription: ""Rufu Kanzen Hōi! Teitoku Neruson no Hissaku"" (Japanese: ルフィ完全包囲!提督ネルソンの秘策)",Junichi Fujise,Junki Takegami,516.6,"February 21, 2001[108]",—
60,—,60,"""Through the Sky They Soar! The 1000 Year Legend Lives Again!""Transcription: ""Ōsora o Mau Mono! Yomigaeru Sennen no Densetsu!"" (Japanese: 大空を舞うもの!甦る千年の伝説)",Yoshihiro Ueda,Junki Takegami,416.3,"February 28, 2001[109]",—
61,44,61,"""Fantastic Voyage""""An Angry Showdown! Cross the Red Line!""Transcription: ""Ikari no Ketchaku! Akai Dairiku o Norikoero!"" (Japanese: 怒りの決着!赤い大陸を乗り越えろ!)",Hidehiko Kadota,Junki Takegami,416.0,"March 7, 2001[110]","July 30, 2005[111]"
